lamb,N,d,h,nb_layers,nb_head,loss
2,10,2,20,1,1,1.9970076704025268
2,10,4,20,1,1,1.777927931547165
2,10,6,20,1,1,1.7389179599285125
2,10,8,20,1,1,1.7239166593551636
2,10,10,20,1,1,1.718697555065155
2,10,12,20,1,1,1.719437551498413
2,10,14,20,1,1,1.718591831922531
2,10,16,20,1,1,1.7189271259307861
2,10,18,20,1,1,1.7167692863941193
2,20,2,20,1,1,1.6955962646007539
2,20,4,20,1,1,1.594467533826828
2,20,6,20,1,1,1.5546841883659364
2,20,8,20,1,1,1.5430518186092377
2,20,10,20,1,1,1.5264530658721924
2,20,12,20,1,1,1.5229724502563478
2,20,14,20,1,1,1.51900106549263
2,20,16,20,1,1,1.517676566839218
2,20,18,20,1,1,1.5163146042823792
2,20,20,20,1,1,1.5160952484607697
2,20,22,20,1,1,1.5140085780620576
2,20,24,20,1,1,1.5146370458602905
2,20,26,20,1,1,1.5155390906333923
2,20,28,20,1,1,1.515337973833084
2,20,30,20,1,1,1.513806209564209
2,20,32,20,1,1,1.5169184124469757
2,20,34,20,1,1,1.5149202835559845
2,20,36,20,1,1,1.5143116343021392
2,20,38,20,1,1,1.5146515905857085
2,30,2,20,1,1,1.6335136318206787
2,30,4,20,1,1,1.5837436270713807
2,30,6,20,1,1,1.5658220756053924
2,30,8,20,1,1,1.5476068675518035
2,30,10,20,1,1,1.5288319087028504
2,30,12,20,1,1,1.5187760138511657
2,30,14,20,1,1,1.512486320734024
2,30,16,20,1,1,1.5048124444484712
2,30,18,20,1,1,1.4991745722293854
2,30,20,20,1,1,1.4950512421131135
2,30,22,20,1,1,1.4963506591320037
2,30,24,20,1,1,1.495381932258606
2,30,26,20,1,1,1.4962779092788696
2,30,28,20,1,1,1.4945770359039308
2,30,30,20,1,1,1.4922380030155182
2,30,32,20,1,1,1.4911645293235778
2,30,34,20,1,1,1.4941990077495575
2,30,36,20,1,1,1.4929907155036926
2,30,38,20,1,1,1.4938615095615386
2,30,40,20,1,1,1.490291167497635
2,30,42,20,1,1,1.4957763278484344
2,30,44,20,1,1,1.4938411283493043
2,30,46,20,1,1,1.4938269364833832
2,30,48,20,1,1,1.4913086223602294
2,30,50,20,1,1,1.493877627849579
2,30,52,20,1,1,1.4945233619213105
2,30,54,20,1,1,1.4968660879135132
2,30,56,20,1,1,1.4959309768676758
2,30,58,20,1,1,1.4947979843616486
2,40,2,20,1,1,1.6496007430553437
2,40,4,20,1,1,1.6215053081512452
2,40,6,20,1,1,1.5995808553695678
2,40,8,20,1,1,1.5892877423763274
2,40,10,20,1,1,1.5766096532344818
2,40,12,20,1,1,1.5703757309913635
2,40,14,20,1,1,1.5619087827205658
2,40,16,20,1,1,1.5555384504795073
2,40,18,20,1,1,1.5511721432209016
2,40,20,20,1,1,1.5493570244312287
2,40,22,20,1,1,1.546635023355484
2,40,24,20,1,1,1.5425582003593445
2,40,26,20,1,1,1.538852264881134
2,40,28,20,1,1,1.5396602213382722
2,40,30,20,1,1,1.5416443753242492
2,40,32,20,1,1,1.536678251028061
2,40,34,20,1,1,1.5380577206611634
2,40,36,20,1,1,1.5377076160907746
2,40,38,20,1,1,1.5353021049499511
2,40,40,20,1,1,1.5374030232429505
2,40,42,20,1,1,1.53941299200058
2,40,44,20,1,1,1.5352411043643952
2,40,46,20,1,1,1.5378853166103363
2,40,48,20,1,1,1.5376673424243927
2,40,50,20,1,1,1.5388587808609009
2,40,52,20,1,1,1.5379018414020538
