lamb,N,d,h,nb_layers,nb_head,loss
2,50,2,2,1,1,1.6787968027591704
2,50,2,6,1,1,1.6803044164180756
2,50,2,10,1,1,1.6738501107692718
2,50,2,14,1,1,1.676376702785492
2,50,2,18,1,1,1.6696845030784606
2,50,2,22,1,1,1.6732116985321044
2,50,2,26,1,1,1.676188063621521
2,50,2,30,1,1,1.6808461785316466
2,50,2,34,1,1,1.6783145892620086
2,50,2,38,1,1,1.6789691579341888
2,50,2,42,1,1,1.6734088861942291
2,50,2,46,1,1,1.6766790759563446
2,50,2,50,1,1,1.679938029050827
2,50,2,54,1,1,1.6669152724742888
2,50,2,58,1,1,1.6685324168205262
2,50,3,3,1,1,1.6585116362571717
2,50,3,9,1,1,1.6623070740699768
2,50,3,15,1,1,1.6645046091079712
2,50,3,21,1,1,1.6672626626491547
2,50,3,27,1,1,1.6665830636024475
2,50,3,33,1,1,1.6649956619739532
2,50,3,39,1,1,1.6600658869743348
2,50,3,45,1,1,1.6628755152225494
2,50,3,51,1,1,1.6608986508846284
2,50,3,57,1,1,1.6578212690353393
2,50,3,63,1,1,1.6562238621711731
2,50,3,69,1,1,1.6630027198791504
2,50,3,75,1,1,1.6609979009628295
2,50,3,81,1,1,1.6655735290050506
2,50,3,87,1,1,1.6560999631881714
2,50,4,4,1,1,1.6467284703254699
2,50,4,12,1,1,1.6553269469738006
2,50,4,20,1,1,1.6479867494106293
2,50,4,28,1,1,1.65118279337883
2,50,4,36,1,1,1.6500274062156677
2,50,4,44,1,1,1.6564654672145844
2,50,4,52,1,1,1.651858183145523
2,50,4,60,1,1,1.6509944248199462
2,50,4,68,1,1,1.6549935340881348
2,50,4,76,1,1,1.649285136461258
2,50,4,84,1,1,1.6446034634113311
2,50,4,92,1,1,1.6457354617118836
2,50,4,100,1,1,1.6538703393936158
2,50,4,108,1,1,1.648193210363388
2,50,4,116,1,1,1.6473732304573059
2,50,5,5,1,1,1.6418505549430846
2,50,5,15,1,1,1.6385271811485291
2,50,5,25,1,1,1.6388575696945191
2,50,5,35,1,1,1.6452014577388763
2,50,5,45,1,1,1.6366847789287566
2,50,5,55,1,1,1.6448361766338349
2,50,5,65,1,1,1.6349908196926117
2,50,5,75,1,1,1.63695046544075
2,50,5,85,1,1,1.637537738084793
2,50,5,95,1,1,1.6353565347194672
2,50,5,105,1,1,1.6381484687328338
2,50,5,115,1,1,1.6348922216892243
2,50,5,125,1,1,1.6357293581962586
2,50,5,135,1,1,1.6388693642616272
2,50,5,145,1,1,1.6416285741329193
2,50,6,6,1,1,1.6380286502838135
2,50,6,18,1,1,1.636855195760727
2,50,6,30,1,1,1.6302046966552735
2,50,6,42,1,1,1.6341823601722718
2,50,6,54,1,1,1.63429851770401
2,50,6,66,1,1,1.6292619121074676
2,50,6,78,1,1,1.6325554656982422
2,50,6,90,1,1,1.6292397677898407
2,50,6,102,1,1,1.626019755601883
2,50,6,114,1,1,1.6290759992599488
2,50,6,126,1,1,1.628121964931488
2,50,6,138,1,1,1.6282923853397369
2,50,6,150,1,1,1.6262342393398286
2,50,6,162,1,1,1.6298925542831422
2,50,6,174,1,1,1.6265101075172423
