lamb,N,d,h,nb_layers,nb_head,para_head,loss
2,50,5,10,1,1,1,1.636806277036667
2,50,5,10,1,1,2,1.6362601494789124
2,50,5,10,1,1,3,1.641052224636078
2,50,5,10,1,1,4,1.6428750693798064
2,50,5,10,1,1,5,1.6379913771152497
2,50,5,20,1,1,1,1.633880800008774
2,50,5,20,1,1,2,1.6407510828971863
2,50,5,20,1,1,3,1.6344394814968108
2,50,5,20,1,1,4,1.6411728513240815
2,50,5,20,1,1,5,1.6390444004535676
2,50,5,30,1,1,1,1.6332651150226594
2,50,5,30,1,1,2,1.633750182390213
2,50,5,30,1,1,3,1.6334884476661682
2,50,5,30,1,1,4,1.634658225774765
2,50,5,30,1,1,5,1.6361319720745087
2,50,5,40,1,1,1,1.6352999448776244
2,50,5,40,1,1,2,1.6385706913471223
2,50,5,40,1,1,3,1.6357942879199983
2,50,5,40,1,1,4,1.6381682658195496
2,50,5,40,1,1,5,1.6379008209705352
2,50,5,50,1,1,1,1.6351653277873992
2,50,5,50,1,1,2,1.634572101831436
2,50,5,50,1,1,3,1.6371996700763702
2,50,5,50,1,1,4,1.6341758346557618
2,50,5,50,1,1,5,1.6374624133110047
