alpha_1,alpha_2,N,d,h,nb_layers,nb_head,para_head,loss,unif_loss,best_loss
0.5,0.05,100,10,100,2,1,1,0.12901510968804358,4.396206702416086,0.09951243698596954
0.5,0.15444444444444444,100,10,100,2,1,1,0.14563526213169098,4.096224720900201,0.10910838782787323
0.5,0.2588888888888889,100,10,100,2,1,1,0.159665647149086,3.8335022286821836,0.1408258980512619
0.5,0.3633333333333333,100,10,100,2,1,1,0.17738736510276795,3.575884159033441,0.16108375310897827
0.5,0.46777777777777774,100,10,100,2,1,1,0.20251373529434205,3.3067099408556455,0.19808345198631286
0.5,0.5722222222222222,100,10,100,2,1,1,0.25461742877960203,3.0092977837969297,0.2118624758720398
0.5,0.6766666666666666,100,10,100,2,1,1,0.26014915585517884,2.658706243460321,0.2573345720767975
0.5,0.7811111111111111,100,10,100,2,1,1,0.2893258166313171,2.2044174031664365,0.2837973117828369
0.5,0.8855555555555555,100,10,100,2,1,1,0.30231948137283327,1.4971117333818906,0.3034806132316589
0.5,0.99,100,10,100,2,1,1,0.02254298210144043,0.041047032301568365,0.014155755043029785
0.9,0.05,100,10,100,2,1,1,1.6811831057071687,4.396206806724214,0.5587824094295502
0.9,0.15444444444444444,100,10,100,2,1,1,1.8330695176124572,4.096224840109491,0.8249972140789033
0.9,0.2588888888888889,100,10,100,2,1,1,1.957968897819519,3.8335025863100523,1.0250992786884308
0.9,0.3633333333333333,100,10,100,2,1,1,2.0049991381168364,3.57588439745202,1.2198384273052216
0.9,0.46777777777777774,100,10,100,2,1,1,2.0491065835952758,3.3067104176928037,1.37216943025589
0.9,0.5722222222222222,100,10,100,2,1,1,2.0258180022239687,3.009298499052667,1.4691546559333801
0.9,0.6766666666666666,100,10,100,2,1,1,1.9242817759513855,2.6587068395067686,1.5321571826934814
0.9,0.7811111111111111,100,10,100,2,1,1,1.742360429763794,2.204418118422174,1.4718421506881714
0.9,0.8855555555555555,100,10,100,2,1,1,1.3007492876052857,1.4971131638933652,1.1830227994918823
0.9,0.99,100,10,100,2,1,1,0.041923809051513675,0.041048462813042974,0.04066019058227539
0.99,0.05,100,10,100,2,1,1,4.155883831977844,4.39620676202073,1.2529532182216645
0.99,0.15444444444444444,100,10,100,2,1,1,3.9162278890609743,4.096224840109491,1.7206135976314545
0.99,0.2588888888888889,100,10,100,2,1,1,3.6862622714042663,3.8335024671007627,2.07319726228714
0.99,0.3633333333333333,100,10,100,2,1,1,3.4769231033325196,3.5758842782427305,2.328458490371704
0.99,0.46777777777777774,100,10,100,2,1,1,3.2258021354675295,3.3067101792742246,2.4365586400032044
0.99,0.5722222222222222,100,10,100,2,1,1,2.951596004962921,3.009298499052667,2.455411424636841
0.99,0.6766666666666666,100,10,100,2,1,1,2.6202730751037597,2.658706720297479,2.335809988975525
0.99,0.7811111111111111,100,10,100,2,1,1,2.179739375114441,2.2044176415850156,2.055050492286682
0.99,0.8855555555555555,100,10,100,2,1,1,1.4827982378005982,1.4971131638933652,1.4502621364593506
0.99,0.99,100,10,100,2,1,1,0.04202981948852539,0.04104750913872657,0.042398080825805665
