lamb,N,d,h,nb_layers,nb_head,para_head,loss
2.1297311782836914,50,10,20,1,1,1,1.5389303636550904
2.1297311782836914,50,10,20,2,1,1,1.4815563035011292
2.1297311782836914,50,10,20,4,1,1,1.4088626194000244
2.1297311782836914,50,10,20,5,1,1,1.4087474989891051
2.1297311782836914,50,10,25,1,1,1,1.5252405548095702
2.1297311782836914,50,10,25,2,1,1,1.4632270455360412
2.1297311782836914,50,10,25,4,1,1,1.4047296500205995
2.1297311782836914,50,10,25,5,1,1,1.373883662223816
2.1297311782836914,50,10,50,1,1,1,1.5185430932044983
2.1297311782836914,50,10,50,2,1,1,1.4209409976005554
2.1297311782836914,50,10,50,4,1,1,1.3842281103134155
2.1297311782836914,50,10,50,5,1,1,1.3676414489746094
2.1297311782836914,50,10,100,1,1,1,1.5027562594413757
2.1297311782836914,50,10,100,2,1,1,1.4245849967002868
2.1297311782836914,50,10,100,4,1,1,1.3377277755737305
2.1297311782836914,50,10,100,5,1,1,1.3293165683746337
