lamb,N,d,h,nb_layers,nb_head,loss
2,20,2,40,1,1,1.54040424823761
2,20,3,40,1,1,1.4822449445724488
2,20,4,40,1,1,1.4791643977165223
2,20,5,40,1,1,1.429160439968109
2,20,6,40,1,1,1.416834831237793
2,20,7,40,1,1,1.4034475445747376
2,20,8,40,1,1,1.403820538520813
2,20,9,40,1,1,1.3956290245056153
2,20,10,40,1,1,1.391883909702301
2,20,11,40,1,1,1.3915493845939637
2,20,12,40,1,1,1.3814718961715697
2,20,13,40,1,1,1.3790511608123779
2,20,14,40,1,1,1.380443000793457
2,20,15,40,1,1,1.3762926936149598
2,20,16,40,1,1,1.3807900309562684
2,20,17,40,1,1,1.380107820034027
2,20,18,40,1,1,1.3766134619712829
2,20,19,40,1,1,1.3696605443954468
2,20,20,40,1,1,1.3834013104438783
2,20,21,40,1,1,1.377825140953064
2,20,22,40,1,1,1.3802895903587342
2,20,23,40,1,1,1.386205291748047
2,20,24,40,1,1,1.3757558941841126
2,20,25,40,1,1,1.3787915587425232
2,20,26,40,1,1,1.3727930426597594
2,20,27,40,1,1,1.3705331087112427
2,20,28,40,1,1,1.3839764595031738
2,20,29,40,1,1,1.3786567807197572
2,20,30,40,1,1,1.3739481568336487
2,20,31,40,1,1,1.3735886335372924
2,20,32,40,1,1,1.379085659980774
2,20,33,40,1,1,1.3763879418373108
2,20,34,40,1,1,1.3783180356025695
2,20,35,40,1,1,1.3789116382598876
2,20,36,40,1,1,1.3722785592079163
2,20,37,40,1,1,1.3820607781410217
2,20,38,40,1,1,1.3810346007347107
2,20,39,40,1,1,1.3831313729286194
