lamb,N,d,h,nb_layers,nb_head,para_head,loss
tensor(0.5228),10,2,100,1,1,1,0.7047206634283065
tensor(0.5228),10,4,100,1,1,1,0.39700386345386507
tensor(0.5228),10,6,100,1,1,1,0.2389530622959137
tensor(0.5228),10,8,100,1,1,1,0.18289434552192688
tensor(0.5228),10,10,100,1,1,1,0.14562853813171386
tensor(1.2700),20,2,100,1,1,1,1.4112419259548188
tensor(1.2700),20,6,100,1,1,1,0.9637749660015106
tensor(1.2700),20,10,100,1,1,1,0.7859571957588196
tensor(1.2700),20,14,100,1,1,1,0.7276697826385498
tensor(1.2700),20,18,100,1,1,1,0.6404641151428223
tensor(1.7067),30,2,100,1,1,1,1.5617991232872008
tensor(1.7067),30,8,100,1,1,1,1.2437091231346131
tensor(1.7067),30,14,100,1,1,1,1.0700013041496277
tensor(1.7067),30,20,100,1,1,1,1.0018272185325623
tensor(1.7067),30,26,100,1,1,1,0.9251069235801697
tensor(1.9248),40,2,100,1,1,1,1.632460936307907
tensor(1.9248),40,10,100,1,1,1,1.3440080964565277
tensor(1.9248),40,18,100,1,1,1,1.173928016424179
tensor(1.9248),40,26,100,1,1,1,1.0998080623149873
tensor(1.9248),40,34,100,1,1,1,1.0580664813518523
tensor(2.1297),50,2,100,1,1,1,1.6997014427185058
tensor(2.1297),50,12,100,1,1,1,1.4041653633117677
tensor(2.1297),50,22,100,1,1,1,1.282879569530487
tensor(2.1297),50,32,100,1,1,1,1.2148240637779235
tensor(2.1297),50,42,100,1,1,1,1.186734688282013
tensor(2.7458),100,2,100,1,1,1,1.8312404799461364
tensor(2.7458),100,22,100,1,1,1,1.6684880185127258
tensor(2.7458),100,42,100,1,1,1,1.560612485408783
tensor(2.7458),100,62,100,1,1,1,1.5142376112937928
tensor(2.7458),100,82,100,1,1,1,1.484140613079071
