lamb,N,d,h,nb_layers,nb_head,loss
2,20,2,2,1,1,1.6752622735500335
2,20,2,6,1,1,1.6799251770973205
2,20,2,10,1,1,1.6938440954685212
2,20,2,14,1,1,1.6564051330089569
2,20,2,18,1,1,1.6593386769294738
2,20,2,22,1,1,1.6538034749031068
2,20,2,26,1,1,1.6709693336486817
2,20,2,30,1,1,1.650565766096115
2,20,2,34,1,1,1.64330779671669
2,20,2,38,1,1,1.6632488012313842
2,20,3,3,1,1,1.6281194591522217
2,20,3,9,1,1,1.6569521391391755
2,20,3,15,1,1,1.6326138198375701
2,20,3,21,1,1,1.6292091012001038
2,20,3,27,1,1,1.6278435587882996
2,20,3,33,1,1,1.631609125137329
2,20,3,39,1,1,1.6272796487808228
2,20,3,45,1,1,1.6236889505386352
2,20,3,51,1,1,1.6293461430072784
2,20,3,57,1,1,1.621664924621582
2,20,4,4,1,1,1.596712474822998
2,20,4,12,1,1,1.614901338815689
2,20,4,20,1,1,1.609180291891098
2,20,4,28,1,1,1.5975707137584687
2,20,4,36,1,1,1.5909104800224305
2,20,4,44,1,1,1.5851914012432098
2,20,4,52,1,1,1.5896274280548095
2,20,4,60,1,1,1.5998335421085357
2,20,4,68,1,1,1.6027737689018249
2,20,4,76,1,1,1.586649738550186
2,20,5,5,1,1,1.5694851100444793
2,20,5,15,1,1,1.5793193423748015
2,20,5,25,1,1,1.569023072719574
2,20,5,35,1,1,1.5824126386642456
2,20,5,45,1,1,1.5770726954936982
2,20,5,55,1,1,1.574627469778061
2,20,5,65,1,1,1.5740277206897735
2,20,5,75,1,1,1.577694398164749
2,20,5,85,1,1,1.5691327679157256
2,20,5,95,1,1,1.570511429309845
2,20,6,6,1,1,1.5679584705829621
2,20,6,18,1,1,1.5643888127803802
2,20,6,30,1,1,1.5623788475990295
2,20,6,42,1,1,1.5533546900749207
2,20,6,54,1,1,1.5534691321849823
2,20,6,66,1,1,1.5590766012668609
2,20,6,78,1,1,1.5546717357635498
2,20,6,90,1,1,1.5578430438041686
2,20,6,102,1,1,1.5592722511291504
2,20,6,114,1,1,1.5610195982456208
2,20,7,7,1,1,1.5485147094726563
2,20,7,21,1,1,1.5458742046356202
2,20,7,35,1,1,1.5466587567329406
2,20,7,49,1,1,1.5450364935398102
2,20,7,63,1,1,1.5451013469696044
2,20,7,77,1,1,1.5555293655395508
