alpha_1,alpha_2,N,d,h,nb_layers,nb_head,para_head,loss,unif_loss,best_loss
0.9,0.05,100,1,100,2,1,1,0,4.396206791823053,3.7919792985916136
0.9,0.05,100,3,100,2,1,1,0,4.396206791823053,2.6877244448661806
0.9,0.05,100,5,100,2,1,1,0,4.396206791823053,1.6680352628231048
0.9,0.05,100,8,100,2,1,1,0,4.396206791823053,0.7940463918447495
0.9,0.05,100,10,100,2,1,1,0,4.396206791823053,0.5720074963569641
0.9,0.15444444444444444,100,1,100,2,1,1,0,4.0962248997141355,3.661819441318512
0.9,0.15444444444444444,100,3,100,2,1,1,0,4.0962248997141355,2.679289026260376
0.9,0.15444444444444444,100,5,100,2,1,1,0,4.0962248997141355,1.8884777927398682
0.9,0.15444444444444444,100,8,100,2,1,1,0,4.0962248997141355,1.1124300509691238
0.9,0.15444444444444444,100,10,100,2,1,1,0,4.0962248997141355,0.8477732640504837
0.9,0.2588888888888889,100,1,100,2,1,1,0,3.8335025267054075,3.453500850200653
0.9,0.2588888888888889,100,3,100,2,1,1,0,3.8335025267054075,2.635429470539093
0.9,0.2588888888888889,100,5,100,2,1,1,0,3.8335025267054075,2.0142771196365357
0.9,0.2588888888888889,100,8,100,2,1,1,0,3.8335025267054075,1.3295200538635255
0.9,0.2588888888888889,100,10,100,2,1,1,0,3.8335025267054075,1.0656003671884537
0.9,0.3633333333333333,100,1,100,2,1,1,0,3.5758845166613096,3.3259790349006653
0.9,0.3633333333333333,100,3,100,2,1,1,0,3.5758845166613096,2.6535914039611814
0.9,0.3633333333333333,100,5,100,2,1,1,0,3.5758845166613096,2.089304518699646
0.9,0.3633333333333333,100,8,100,2,1,1,0,3.5758845166613096,1.469047200679779
0.9,0.3633333333333333,100,10,100,2,1,1,0,3.5758845166613096,1.2197061610221862
0.9,0.46777777777777774,100,1,100,2,1,1,0,3.3067104176928037,3.0650881266593935
0.9,0.46777777777777774,100,3,100,2,1,1,0,3.3067104176928037,2.543935933113098
0.9,0.46777777777777774,100,5,100,2,1,1,0,3.3067104176928037,2.1762802481651304
0.9,0.46777777777777774,100,8,100,2,1,1,0,3.3067104176928037,1.6031589198112488
0.9,0.46777777777777774,100,10,100,2,1,1,0,3.3067104176928037,1.350588858127594
0.9,0.5722222222222222,100,1,100,2,1,1,0,3.0092986182619565,2.868006386756897
0.9,0.5722222222222222,100,3,100,2,1,1,0,3.0092986182619565,2.4716186332702637
0.9,0.5722222222222222,100,5,100,2,1,1,0,3.0092986182619565,2.0923825633525848
0.9,0.5722222222222222,100,8,100,2,1,1,0,3.0092986182619565,1.668504182100296
0.9,0.5722222222222222,100,10,100,2,1,1,0,3.0092986182619565,1.4436224758625031
0.9,0.6766666666666666,100,1,100,2,1,1,0,2.6587068395067686,2.549329311847687
0.9,0.6766666666666666,100,3,100,2,1,1,0,2.6587068395067686,2.279870240688324
0.9,0.6766666666666666,100,5,100,2,1,1,0,2.6587068395067686,2.064413208961487
0.9,0.6766666666666666,100,8,100,2,1,1,0,2.6587068395067686,1.6819385194778442
0.9,0.6766666666666666,100,10,100,2,1,1,0,2.6587068395067686,1.5010768699645995
0.9,0.7811111111111111,100,1,100,2,1,1,0,2.204418118422174,2.135189561843872
0.9,0.7811111111111111,100,3,100,2,1,1,0,2.204418118422174,1.9843226194381713
0.9,0.7811111111111111,100,5,100,2,1,1,0,2.204418118422174,1.8070760583877563
0.9,0.7811111111111111,100,8,100,2,1,1,0,2.204418118422174,1.6123951721191405
0.9,0.7811111111111111,100,10,100,2,1,1,0,2.204418118422174,1.4709704041481018
0.9,0.8855555555555555,100,1,100,2,1,1,0,1.4971136407305234,1.4682029342651368
0.9,0.8855555555555555,100,3,100,2,1,1,0,1.4971136407305234,1.4164274072647094
0.9,0.8855555555555555,100,5,100,2,1,1,0,1.4971136407305234,1.338111023902893
0.9,0.8855555555555555,100,8,100,2,1,1,0,1.4971136407305234,1.2385160541534423
0.9,0.8855555555555555,100,10,100,2,1,1,0,1.4971136407305234,1.1824417543411254
0.9,0.99,100,1,100,2,1,1,0,0.04104893965020118,0.043645653724670413
0.9,0.99,100,3,100,2,1,1,0,0.04104893965020118,0.0422112512588501
0.9,0.99,100,5,100,2,1,1,0,0.04104893965020118,0.04124186515808106
0.9,0.99,100,8,100,2,1,1,0,0.04104893965020118,0.04115975856781006
0.9,0.99,100,10,100,2,1,1,0,0.04104893965020118,0.040951833724975586
