alpha_1,alpha_2,N,d,h,nb_layers,nb_head,para_head,loss,unif_loss,best_loss
0.9,0.6,100,10,0,1,1,1,2.061304495334625,2.922641332571649,1.185715264081955
0.9,0.6,100,10,0,1,1,5,1.8642245078086852,2.922641332571649,1.185715264081955
0.9,0.6,100,10,0,1,1,9,1.7789185321331025,2.922641332571649,1.185715264081955
0.9,0.6,100,10,0,1,1,13,1.7241869676113128,2.922641332571649,1.185715264081955
0.9,0.6,100,10,0,1,1,17,1.6679554092884064,2.922641332571649,1.185715264081955
0.9,0.6,100,10,0,1,1,21,1.6883255970478057,2.922641332571649,1.185715264081955
0.9,0.6,100,10,0,2,1,1,2.0173067831993103,2.922641332571649,1.185715264081955
0.9,0.6,100,10,0,2,1,5,1.7895703566074372,2.922641332571649,1.185715264081955
0.9,0.6,100,10,0,2,1,9,1.670524560213089,2.922641332571649,1.185715264081955
0.9,0.6,100,10,0,2,1,13,1.6145265638828277,2.922641332571649,1.185715264081955
0.9,0.6,100,10,0,2,1,17,1.5919703233242035,2.922641332571649,1.185715264081955
0.9,0.6,100,10,0,2,1,21,1.5660200011730194,2.922641332571649,1.185715264081955
0.9,0.6,100,10,100,1,1,1,1.9751527035236358,2.922641332571649,1.185715264081955
0.9,0.6,100,10,100,1,1,5,1.8218389356136322,2.922641332571649,1.185715264081955
0.9,0.6,100,10,100,1,1,9,1.7473175942897796,2.922641332571649,1.185715264081955
0.9,0.6,100,10,100,1,1,13,1.7017939126491546,2.922641332571649,1.185715264081955
0.9,0.6,100,10,100,1,1,17,1.6778744232654572,2.922641332571649,1.185715264081955
0.9,0.6,100,10,100,1,1,21,1.6238077795505523,2.922641332571649,1.185715264081955
0.9,0.6,100,10,100,2,1,1,1.8298164188861847,2.922641332571649,1.185715264081955
0.9,0.6,100,10,100,2,1,5,1.6808315193653107,2.922641332571649,1.185715264081955
0.9,0.6,100,10,100,2,1,9,1.6334003007411957,2.922641332571649,1.185715264081955
0.9,0.6,100,10,100,2,1,13,1.6074044811725616,2.922641332571649,1.185715264081955
0.9,0.6,100,10,100,2,1,17,1.5589428961277008,2.922641332571649,1.185715264081955
0.9,0.6,100,10,100,2,1,21,1.5459394609928132,2.922641332571649,1.185715264081955
0.9,0.6,100,10,1000,1,1,1,2.024670022726059,2.922641332571649,1.185715264081955
0.9,0.6,100,10,1000,1,1,5,1.834893126487732,2.922641332571649,1.185715264081955
0.9,0.6,100,10,1000,1,1,9,1.7531870114803314,2.922641332571649,1.185715264081955
0.9,0.6,100,10,1000,1,1,13,1.690513745546341,2.922641332571649,1.185715264081955
0.9,0.6,100,10,1000,1,1,17,1.6548065865039825,2.922641332571649,1.185715264081955
0.9,0.6,100,10,1000,1,1,21,1.655653544664383,2.922641332571649,1.185715264081955
0.9,0.6,100,10,1000,2,1,1,1.8127570712566377,2.922641332571649,1.185715264081955
0.9,0.6,100,10,1000,2,1,5,1.6577930295467376,2.922641332571649,1.185715264081955
0.9,0.6,100,10,1000,2,1,9,1.6135276353359223,2.922641332571649,1.185715264081955
0.9,0.6,100,10,1000,2,1,13,1.5797644746303559,2.922641332571649,1.185715264081955
0.9,0.6,100,10,1000,2,1,17,1.5503048646450042,2.922641332571649,1.185715264081955
0.9,0.6,100,10,1000,2,1,21,1.5339017164707185,2.922641332571649,1.185715264081955
