alpha_1,alpha_2,N,d,h,nb_layers,nb_head,para_head,loss,unif_loss,best_loss
0.9,0.6,100,10,0,1,1,1,2.061304459571838,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,0,1,1,9,1.7879484272003174,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,0,1,1,17,1.6759827411174775,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,0,1,1,25,1.6405833065509796,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,0,1,1,33,1.590855816602707,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,0,1,1,41,1.5942346131801606,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,0,1,1,49,1.557816253900528,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,0,1,1,57,1.5460310876369476,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,0,1,1,65,1.5555554497241975,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,0,1,1,73,1.5322567546367645,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,0,1,1,81,1.5102981317043305,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,0,1,1,89,1.5213896238803863,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,0,1,1,97,1.535794893503189,2.922641332571649,1.1857152783870697
